UniversityName;NumStudents;WikiPageID
Public College, Samana;3000;44277901
Public University of El Alto;33480;66986252
Public Youth Campus;4000;67217136
Puebla Institute of Technology;6329;30772082
Pueblo Community College;5592;20640378
Pulchowk Campus;2000;8017805
Pune Institute of Computer Technology;2550;2369152
Punjab University College of Information Technology;3000;14997567
Purbanchal University;35000;2707383
Purbaya Polytechnic Institute;200;15245669
Purdue University;49639;23757
Purdue University Fort Wayne;8298;36737863
Purdue University Global;43927;56921159
Purdue University Northwest;9363;46352437
Purdue University system;118686;3598793
Puri Zilla School;1500;27885620
Purulia Polytechnic;550;22424490
Purwanchal Campus;1600;43796839
Pusa Institute of Technology;2300;6822010
Pwani University;8000;39384859
Pyramids Higher Institute for Engineering and Technology;2500;68694029
Pázmány Péter Catholic University;7910;2763164
Pädagogische Hochschule Schwäbisch Gmünd;2800;62143291
QSI International School of Phuket;68;41572793
Qarshi University;350;38459738
Qassim University;75000;18621275
Qazvin Islamic Azad University;15000;30578243
Qingdao University;46000;1498699
Qingdao University of Science and Technology;30000;1479349
Qingdao University of Technology;30;10536913
Qinghai University;27000;1750049
Qiqihar Medical University;15000;22164785
Quaid-e-Awam University of Engineering, Science & Technology;4200;22331403
Quaid-e-Azam Medical College;1600;13389872
Quaid-i-Azam University;13000;736973
Quantic School of Business and Technology;15000;68567555
Queen's College, Hong Kong;785;590161
Queen's University Faculty of Law;496;3328383
Queen's University at Kingston;31785;7955551
Queen Elizabeth School, Hong Kong;860;4562331
Queen Maud University College;1200;10402529
Queens College, City University of New York;18494;309698
Queens University of Charlotte;2400;2993166
Queensland Conservatorium Griffith University;800;3644262
Queensland University of Technology;52672;198332
Quezon City University;8693;28747555
Quinnipiac University;9744;498523
Quinnipiac University School of Law;390;1713339
Roberts Wesleyan University;1670;449984
Robertsbridge Community College;690;16545551
Robeson Community College;1671;28068287
Rochester Community and Technical College;8000;1424987
Rochester Institute of Technology of Dubai;700;15401609
Rock Springs High School;1386;26672650
Rockford University;1272;1767013
Rockhurst University;2980;346949
Rockingham Community College;2254;5590645
Rocky Mountain College;944;2174936
Rocky Mountain University of Health Professions;775;31060338
Roger Williams University;4000;1250776
Rogers State University;4300;1699269
Rohini College of Engineering & Technology;2500;39665318
Rollins College;3127;494448
Roma Tre University;35338;2097545
Rome University of Fine Arts;1200;50414047
Roorkee Institute of Technology;2000;39494094
Roosevelt University;6391;2084233
Rosalind Franklin University of Medicine and Science;2099;1403791
Rosemont College;1119;6186131
Rosenheim University of Applied Sciences;6;21444947
Roskilde University;8045;90455
Rosny College;984;1657445
Rostov State Medical University;7000;17118647
Rottenburg University of Applied Forest Sciences;850;19145580
Rotterdam School of Management, Erasmus University;10000;2251050
Rotterdam University of Applied Sciences;39000;12379326
Rovaniemi University of Applied Sciences;3079;32746766
Rowan University;23000;859478
Roxbury Community College;2382;8185472
Roy J. and Lucille A. Carver College of Medicine;600;27353095
Royal Academy of Art, The Hague;890;4367553
Royal College, Colombo;9100;30857412
Royal College of Art;2300;269757
Royal Danish Academy of Music;400;5443758
Royal Guard of Oman Technical College;382;8068836
Royal Military Academy (Belgium);850;11083791
Royal Military College, Duntroon;425;478799
Royal School of Library and Information Science;800;15965521
Royal University of Agriculture;9527;22305309
Royal University of Dhaka;4000;8382175
Royal University of Law and Economics;15672;8603822
Royal Welsh College of Music & Drama;779;4466560
Ruhr University Bochum;42425;246889
Rumbek University;1500;32469024
Salve Regina University;2600;27175676
Sam Higginbottom University of Agriculture, Technology and Sciences;12331;6309587
Sam Houston State University;21679;639967
Sam M. Walton College of Business;6132;17628407
Samar College;5000;64394066
Samara National Research University;16976;48323412
Samara State Technical University;18396;60468786
Samarkand State Medical University;8133;66858162
Samarra University;8205;70413260
Sami Shamoon College of Engineering;6500;57999048
Sampson Community College;2000;28068303
Samrat Ashok Technological Institute;2500;11743200
Samtse College of Education;350;34930642
San Beda College Alabang;7000;25322623
San Beda University;8500;1793985
San Bernardino Community College District;18000;29145507
San Bernardino Valley College;17044;3137849
San Cristóbal of Huamanga University;8984;1051263
San Diego Christian College;681;3519873
San Diego City College;16852;2054059
San Diego College of Continuing Education;40000;23806872
San Diego Community College District;101879;6018094
San Diego State University College of Engineering;4103;6706750
San Diego State University College of Professional Studies & Fine Arts;4857;6707750
San Francisco Conservatory of Music;480;1517577
San Jacinto College;30000;334228
San Joaquin Delta College;18536;4608666
San Jose City College;10139;1284612
San Jose State University;33849;378504
San Juan de Dios Educational Foundation;300;8805231
San Mateo County Community College District;45000;4530113
San Mateo National High School;3432;31279699
San Sebastián University;35251;2483077
Sanda University;10000;919895
Sandhills Community College;4000;1020984
Sandra Day O'Connor College of Law;812;8939577
Sandringham College;1365;16764120
Sangji University;7576;25120893
Sanjiang University;18000;3137351
Sankt Georgen Graduate School of Philosophy and Theology;360;7959336
Sankta Birgittas folkhögskola;60;30718743
Sanming University;14054;56964618
Sant'Anna School of Advanced Studies;1652;3094384
Santa Ana College;37916;1283853
Santa Barbara City College;18848;187828
Santa Clara University;9015;433127
Santa Clara University College of Arts & Sciences;3025;31625877
Santa Clara University School of Law;880;1054076
Santa Fe College;12607;4151907
Santa Monica College;9351;1195676
Santa Monica College;16925;1195676
Santa Monica College;29615;1195676
Santa Rosa Junior College;26674;1671039
Santana High School;1616;3752717
Santiago Canyon College;16387;4067763
Sapahar Government College;4000;32188720
Sapientia University;2239;7908331
Sapienza University of Rome;112564;1222318
Sapir Academic College;8000;15033580
Sarah Lawrence College;1675;300325
Sarah Tucker College;3300;23344838
Sarajevo Music Academy;500;8990544
Saratov State University;26342;4741505
Sardar Bahadur Khan Women's University;8000;3553164
Sardar Vallabhbhai National Institute of Technology, Surat;538269;2094228
Sardar Vallabhbhai Patel Institute of Technology;3000;4068918
Sardar Vallabhbhai Patel International School of Textiles & Management;291;39414211
Sargodha Medical College;1530110;38083597
Saskatchewan Indian Institute of Technologies;1400;549428
Saskatchewan Polytechnic;14176;462340
Saskatoon Business College;350;44744846
Satakunta University of Applied Sciences;6000;5393433
Sathyabama Institute of Science and Technology;17000;2292408
Satirpara K.K. Institution School & College;3000;44058421
Satkania Government College;4000;65377378
Satkhira Government College;15000;43643763
Satkhira Government Mahila College;2500;43678630
Satkhira Medical College;340;43812963
Satkhira Polytechnic Institute;2500;43703374
Sattler College;75;56160742
Satya Wacana Christian University;15156;6384586
Sault College;4500;1413074
Saunders College of Business;2400;16656870
Savannah College of Art and Design;14840;863620
Savannah State University;3420;10403508
Saveetha Institute of Medical And Technical Sciences;1314;38877748
Savitribai Phule Pune University;665121;877131
Savoy Mont Blanc University;15376;7984881
Saxion University of Applied Sciences;27;44527696
Schar School of Policy and Government;2000;13808176
Schiller International University;262;3226208
Scholars Academy;200;7988214
School NAD-UQAC;400;64779822
School for Higher and Professional Education;3000;60332304
School of Accounting and Administration, UNAM;16530;17621542
School of Clinical Medicine, University of Cambridge;280;7317906
School of Dental Sciences, Newcastle University;500;40039162
School of Engineering, UNAM;12000;17646154
School of Industrial Engineering, University of Vigo;4443;33766045
School of Informatics, University of Edinburgh;1717;800222
School of International Liberal Studies;2863;43411072
School of Jazz and Contemporary Music;287;11124081
School of Law, University of Mumbai;480;50888430
School of Law and Social Sciences, University of East London;1000;24594455
School of Medicine, Siam University;48;40380414
School of Planning and Architecture, New Delhi;1189;6606039
School of Planning and Architecture, Vijayawada;596;32985462
School of Sciences, UNAM;9578;17886518
School of Social Work, Odense – University College, Little Belt;800;25814997
Schoolcraft College;135;2780341
Schoolcraft College;865;2780341
Schoolcraft College;5709;2780341
Schoolcraft College;13019;2780341
Schools of Public Engagement;1177;4854708
Schreiner University;1308;2086345
Schulich School of Engineering;4600;5630538
Schulich School of Law;500;567939
Schulich School of Medicine & Dentistry;224;4111749
Schulich School of Medicine & Dentistry;684;4111749
Schulich School of Medicine & Dentistry;995;4111749
Schwarzman Scholars;100;39174296
Sciences Po;14000;1050922
Sciences Po Aix;15;1840887
Sciences Po Aix;1800;1840887
Sciences Po Law School;944;59937521
Scientific University of the South;16352;765767
Scotland's Rural College;1570;37992863
Scott Christian College;2926;26119744
Scott Christian University;2000;47655976
Scott Community College;7644;2072108
Scottish Association for Marine Science;160;15410850
Scottsboro High School;748;47222947
Scottsdale Community College;9458;748848
Entrepreneurship and Innovation Center;2500;23156247
Environmental Campus Birkenfeld;2500;2694933
Mercy College of Ohio;1048;2697908
Molde University College;2800;11223701
Monterey High School (Lubbock, Texas);2144;5309566
Morley College;17000;2573699
Namibia University of Science and Technology;10500;12307851
Naval Justice School;150;22882275
Nebraska College of Technical Agriculture;300;6027422
Nebraska Indian Community College;95;6027408
Nebraska Methodist College;775;6027417
Nepal Sanskrit University;1697;29137903
Noorul Islam Centre for Higher Education;3500;56019837
Nordic Institute of Stage and Studio;600;12991822
North Metro Technical College;2000;18435700
Northcentral Technical College;2022;11985752
Norwegian School of Economics;2196;1145493
Nottingham Law School;2664;5080196
Swansea Metropolitan University;5765;4687224
MF Norwegian School of Theology, Religion and Society;1300;2226258
MKSSS's Cummins College of Engineering for Women;1872;34604111
Maastricht Academy of Music;600;2357362
Mehr Chand Polytechnic College;900;37362906
Melbourne Polytechnic;50203;4160442
Mercer University School of Medicine;387;33296514
Merz Akademie;250;51450946
Metropolitan South Institute of TAFE;30000;5008591
Monterrey College of Music and Dance;560;23466177
Montpellier 2 University;16224;3606435
Moores School of Music;600;8107605
Projekt Sex;700;44356461
Omsk State Technical University;15000;17302536
Paris Nanterre University;32000;2396225
Paris School of Urban Planning;500;59209853
Paris Universitas;70000;16323395
Pará State University;14943;38501636
Rowan–Cabarrus Community College;22000;30736820
Southwestern Community College (Iowa);1500;13447294
Teikyo University of Japan in Durham;40;41819292
Shanxi University of Finance and Economics;22000;919250
UIC College of Pharmacy;29;26787729
UIC College of Pharmacy;144;26787729
UIC College of Pharmacy;735;26787729
UNSW School of Computer Science and Engineering;116;21836781
UNSW School of Computer Science and Engineering;1430;21836781
UNSW School of Computer Science and Engineering;3218;21836781
Western Michigan University Cooley Law School;500;30874765
Zabol University;15000;1370824
École Normale de Musique de Paris;1100;21872063
Princeton Neuroscience Institute;68;47403822
Princeton University Department of Economics;141;58247544
Princeton University Department of Economics;300;58247544
Princeton University School of Architecture;180;55925125
UTC Reading;490;38963348
University of Michigan School of Kinesiology;1073;28356685
Baresan University;2625;50041281
Barguna Polytechnic Institute;1600;47897662
Barisal Polytechnic Institute;6200;34994858
Barking and Dagenham College;10000;1085577
Barnet and Southgate College;14000;1358633
Barratt Due Institute of Music;90;22886471
Barratt Due Institute of Music;200;22886471
Barry College;10000;4880479
Barry University;7401;574547
Barstow Community College;3746;14145459
Barton Community College;6281;27970060
Barton Peveril Sixth Form College;3600;11086248
Barts and The London School of Medicine and Dentistry;3410;504928
Baruch College;19740;484019
Basanti Devi College;1500;31871684
Batna 2 University;33458;49707045
Baton Rouge Community College;8000;3544077
Batumi State Maritime Academy;2500;37955910
Bauchi State University;21180;39913949
Bauhaus University, Weimar;4166;2310941
Bauman Moscow State Technical University;19000;714503
Bay Mills Community College;531;4355229
Bay de Noc Community College;2414;23612083
Bay de Noc Community College;5000;23612083
Bayamón Central University;2133;1074452
Baylor Law School;448;6342306
Baylor University;20626;22693330
Bayswater Secondary College;213;30046251
Beacon College;460;20367790
Beal University;429;1281935
Beaufort Secondary College;160;30046695
Begum Rokeya University, Rangpur;7120;19902692
Begumgonj Textile Engineering College, Noakhali;480;28077416
Behram-Begova Medresa Tuzla;500;43914887
Beijing City University;28000;41137697
Beijing Electronic Science and Technology Institute;2114;919956
Beijing Institute of Petrochemical Technology;8000;26731858
Beijing Institute of Technology;26358;342924
Beijing International MBA at Peking University;100;37719149
Beijing International MBA at Peking University;150;37719149
Beijing International MBA at Peking University;250;37719149
Beijing Normal University;24700;913002
Beijing Sport University;14000;7945999
Beijing Union University;30000;919965
Beijing University of Civil Engineering and Architecture;10333;31465347
Beijing University of Posts and Telecommunications;22000;574730
Beijing University of Technology;20000;2853907
Beirut Arab University;16000;1515882
Belarusian State Medical University;6513;22575954
Belarusian State University;44877;482911
Belarusian State University Faculty of Biology;2100;37302349
Belfast Metropolitan College;37000;3077785
Belgorod State University;25000;21687278
Belgorod Technological University;25000;49437500
Belhaven University;4245;190468
Belilios Public School;850;3486895
Bellahouston Academy;1080;16555813
Bellarmine University;3973;394938
Bellingham Technical College;2200;14448243
Bells University of Technology;1999;18269654
Belmont College;856;5111736
Belmont University;8440;289574
Bemidji State University;6354;770313
Ben-Gurion University of the Negev;18357;351524
Benedict College;2140;2159872
Benedict XVI Philosophical-Theological University;323;53581584
Benedictine Academy;127;7095183
Benedictine College;2126;610377
Bengal Institute of Technology, Katwa;660;54501036
Bengal Institute of Technology, Kolkata;850;30368168
Benguet State University;10000;19665571
Beni Suef University;63456;22080997
Benito Soliven Academy;320;31086656
Benjamin N. Cardozo School of Law;996;1498588
Benjamin T. Rome School of Music, Drama, and Art;300;29245474
Bennett College;232;1050805
Bennington College;755;529604
Bentley University;5602;509227
Benton High School (Louisiana);1323;18016211
Berchmans College;1651;51156162
Berean Bible College;25;36050517
Bergen Community College;13352;1648338
Berkeley City College;6457;5593854
Berkeley School of Theology;74;2616987
Berklee College of Music;6000;486112
Berkshire Community College;3000;8183579
Berlin School of Economics and Law;10;13343269
Berlin University of the Arts;3535;323263
Berliner Hochschule für Technik;12013;37735423
Bermuda College;1366;4356572
Besat Institute of Higher Education of Kerman;6000;37423211
Bethany College (Kansas);805;1247765
Bethany College (Saskatchewan);9;17334704
Bethany College (West Virginia);650;654034
Bethany Global University;410;1744901
Bethany Lutheran College;750;439776
Bethany Theological Seminary;100;1343861
Bethel College (Kansas);500;844162
Bethel Theological Seminary;369220;34536873
Bethel University (Indiana);1650;2217583
Bethel University (Minnesota);6532;563462
Bethesda University;399;51017966
Bethune–Cookman University;3773;541324
Beverly Hills High School;1248;6124000
Bevill State Community College;3986;22379567
Beykent University;29;13622978
Bhagat Phool Singh Mahila Vishwavidyalaya;7000;31813458
Bhajarang Engineering College;1500;31068651
Bharata Mata College;2300;47160951
Bharathi Women's College;4000;55306182
Bharathidasan Institute of Management;240;3881070
Bharathiyar College of Engineering and Technology;1000;46478208
Bharati College;4000;50684619
Bharati Vidyapeeth;23000;27598757
Bharati Vidyapeeth College of Engineering;2000;4361925
Bhawal Badre Alam Government College;19000;29301185
Bialystok University of Technology;7104;1047795
Biberach University of Applied Sciences;2500;32129475
Bicol University;27224;4215028
Bidhan Chandra Krishi Viswavidyalaya;2119;9371994
Bielefeld University;24255;1546410
Big Bend Community College;1755;4389013
Bijoy Smarani University College;2000;51363138
Biliran Province State University;6000;15957353
Bilkent University;13000;708203
Bingen Technical University of Applied Sciences;2410;33020607
Binghamton University;18148;275474
Binod Bihari Mahto Koyalanchal University;100000;58843043
Bir Bahadur Singh Sports College, Gorakhpur;320;51113228
Birla Institute of Technology and Science, Pilani;13535;33652790
Birla Institute of Technology and Science, Pilani – Dubai Campus;1400;18309239
Birla Institute of Technology and Science, Pilani – Hyderabad Campus;5450;25407427
Birmingham City Business School;4000;7219003
Birmingham School of Acting;134;1558879
Birmingham School of Law;400;4582347
Bishop's University;2867;342652
Bishop Herman College;1800;43746926
Bishop Kearney High School (Irondequoit, New York);315;1900121
Bishop Stuart University;5000;24801418
Bishop Watterson High School (Columbus, Ohio);1100;6732926
Bishop Westcott Boys' School;1800;11126183
Bismarck State College;3781;1272590
Black Hawk College;4777;7745479
Black Hills State University;3539;2337014
Black Mountain College;1200;335025
Black River Technical College;3000;2793554
Black cadets at the United States Coast Guard Academy;1045;4383089
Blackfeet Community College;535;23595350
Blackrock Further Education Institute;1000;10284618
Blagoveshchensk State Pedagogical University;4000;10045300
Blaise Pascal University;16007;7942030
Blinn College;18977;1246005
Blue Mountain College;450;217172
