UniversityName;NumStudents;WikiPageID
University of Houston–Victoria;4501;2032411
University of Hradec Králové;6500;1082743
University of Humanistic Studies;530;1358669
University of Ibadan;41743;2409657
University of Ibagué;5024;48463133
University of Idaho;10474;53545
University of Idaho;10791;53545
University of Idaho College of Law;343;5724044
University of Illinois Chicago College of Dentistry;416;5573086
University of Illinois College of Agriculture, Consumer, and Environmental Sciences;3470;5761094
University of Illinois College of Fine and Applied Arts;2371;5761216
University of Illinois College of Law;543;5761339
University of Illinois College of Liberal Arts and Sciences;14490;1694863
University of Illinois Department of Civil and Environmental Engineering;1150;30001526
University of Illinois Department of Mechanical Science and Engineering;1350;44619501
University of Illinois School of Architecture;757;9283974
University of Illinois Urbana-Champaign;56257;384695
University of Illinois Urbana-Champaign College of Media;1153;5761138
University of Iloilo;7000;5850602
University of Ilorin;50000;17214425
University of Indianapolis;5638;444279
University of Indianapolis – Athens Campus;550;34469416
University of Indonesia;47357;353707
University of Information Science;3500;25449658
"University of Information Science and Technology ""St. Paul The Apostle""";375;26988820
University of Information Technology and Sciences;5000;8382172
University of Innsbruck;28;630651
University of International Business and Economics (Beijing);16094;44733117
University of Ioannina;25000;21466479
University of Iowa;30015;241119
University of Iowa College of Engineering;2445;62702371
University of Iowa College of Law;420;4638520
University of Iowa School of Music;450;34042197
University of Iringa;12000;39966259
University of Jaffna;7972;24584588
University of Jamestown;1290;1156555
University of Jaén;16990;12489899
University of Jena;18219;356844
University of Jendouba;14956;38718432
University of Johannesburg;51313;1158737
University of Jordan;46951;2599076
University of Jos;41000;3795306
University of Jyväskylä;14000;258910
University of Kairouan;13862;38655900
University of Kalamoon;7000;49208213
University of Kalyani;5208;11018035
University of Kansas;27638;163327
University of Kansas Medical Center;3695;4693359
University of Kansas School of Business;2500;17566922
University of Karachi;41000;1791959
University of Kashan;7994;16024601
University of Kashmir;100000;13321644
University of Kassala;8700;29298914
University of Kassel;23699;18160530
University of Kentucky;31536;284368
University of Kentucky College of Agriculture, Food, and Environment;3000;32952846
University of Kentucky College of Arts and Sciences;5200;28552007
University of King's College;914;210016
University of Kinshasa;29554;6540670
University of Kisangani;6058;12175662
University of Klagenfurt;12041;1053555
University of Koblenz and Landau;16479;5290021
University of Konstanz;11268;2562056
University of Kragujevac;14179;5105041
University of Kragujevac Faculty of Agronomy;252;36305932
University of Kragujevac Faculty of Economics;2453;36305785
University of Kragujevac Faculty of Technical Sciences;1563;36306189
University of KwaZulu-Natal;46539;670734
University of La Frontera;11053;1271747
University of La Sabana;11929;2711367
University of Lagos;55000;2029583
University of Lahore;36000;2959312
University of Las Palmas de Gran Canaria;22707;7805101
University of Lausanne;13500;79810
University of Law;8000;2730419
University of Leoben;4030;1267376
University of Lethbridge;9532;911922
University of León;13;20240005
University of Liberal Arts Bangladesh;3700;8382177
University of Liberia;18753;5182628
University of Library Studies and Information Technologies;2500;29450903
University of Life Sciences in Poznań;7984;12753036
University of Lima;20000;1962241
University of Limerick;16000;258857
University of Lisbon;47794;585749
University of Lisbon (1911–2013);20291;40069286
University of Liège;26863;2273279
University of Ljubljana;38762;167422
University of Lleida;10625;23431224
University of Lomé;40000;26002684
University of London;40675;60919
University of London;219410;60919
University of London Institute in Paris;180;1126700
University of London Worldwide;40675;6646453
University of Loralai;1000;44307691
University of Lorraine;62000;34653012
University of Los Andes (Colombia);24653;919467
University of Louisiana at Lafayette;16934;637715
University of Louisiana at Monroe;8854;482164
University of Louisville;21430;385843
University of Louisville School of Law;355;10064144
University of Louisville School of Medicine;630;36648613
University of Lucerne;3037;21004764
University of Lucknow;17056;10020808
University of Luhansk;30000;14249024
University of Luxembourg;6783;5231096
University of Lviv;11649;2271241
University of Lynchburg;2800;1139831
University of Lyon;120000;715165
University of Lübeck;4945;9857257
University of Macau;12500;919926
University of Macedonia;19910;986792
University of Madras;4819;636321
University of Magallanes;3822;1271743
University of Magdalena;19848;22577236
University of Maine;11561;370467
University of Maine School of Law;253;2364234
University of Maine System;33000;428918
University of Maine at Augusta;6000;5606982
University of Maine at Fort Kent;1557;5318231
University of Maine at Presque Isle;1100;3213529
University of Mainz;32000;747169
University of Makati;15000;21145572
University of Malakand;7500;3559811
University of Malawi College of Medicine;300;58084995
University of Malaya;30568;286853
University of Malta;11117;1840561
University of Management and Technology (Lahore);25000;5462028
University of Management and Technology (Virginia);342;14348566
University of Manchester;40485;83266
University of Manitoba;31037;32099
University of Manitoba College of Medicine;110;4164832
University of Manitoba College of Medicine;1255;4164832
University of Maragheh;3300;40809505
University of Marburg;22380;499094
University of Maribor;14000;167426
University of Mary Hardin–Baylor;3914;8394854
University of Maryland, College Park;41200;19817390
University of Maryland School of Medicine;1261;2161571
University of Massachusetts;75065;248445
University of Massachusetts Boston;15637;99867
University of Massachusetts Global;23000;29066435
University of Mauritius;12273;22060649
University of Medical Technology, Mandalay;472;20898414
University of Medicine, Magway;1614;18577890
University of Medicine, Mandalay;2086;2464815
University of Medicine, Pharmacy, Science and Technology of Târgu Mureș;10000;23159898
University of Medicine, Taunggyi;625;48120438
University of Medicine, Tirana;8;41269156
University of Medicine 1, Yangon;2969;2464890
University of Medicine 2, Yangon;3021;10213903
University of Medicine and Dentistry of New Jersey;7182;526804
University of Melbourne;54411;363594
University of Memphis;22044;628169
University of Messina;23779;2116104
University of Miami;19096;87011
University of Miami Patti and Allan Herbert Business School;3567;26031130
University of Miami School of Law;1208;2809233
University of Michigan;48090;31740
University of Michigan Law School;1024;1202467
University of Michigan School of Information;1199;4877703
University of Michigan–Dearborn;8783;848086
University of Michigan–Flint;6418;450827
University of Milan;61547;453576
University of Minho;19632;42869705
University of Minnesota;52376;416813
University of Minnesota College of Biological Sciences;4;10932791
University of Minnesota College of Biological Sciences;259;10932791
University of Minnesota College of Biological Sciences;2338;10932791
University of Minnesota Crookston;1489;1984886
University of Minnesota Duluth;10275;563285
University of Minnesota Law School;704;1240956
University of Minnesota Morris;1431;624236
University of Minnesota School of Nursing;880;46445443
University of Minnesota School of Public Health;1037;9284105
University of Mississippi;22967;65542
University of Mississippi School of Law;495;28045454
University of Missouri College of Education;2319;29301591
University of Missouri College of Engineering;3204;35931597
University of Missouri School of Law;346;21553057
University of Missouri System;76037;177764
University of Missouri–Kansas City;16156;170430
University of Missouri–Kansas City School of Law;425;20044435
University of Missouri–Kansas City School of Medicine;624;3336394
University of Missouri–St. Louis;15205;23962376
University of Mitrovica;4000;52316278
University of Mobile;1885;498545
University of Modena and Reggio Emilia;22205;1977031
University of Mohaghegh Ardabili;11000;5725538
University of Montana;10962;619230
University of Montana Phyllis J. Washington College of Education and Human Sciences;1340;28873222
University of Montana Western;1221;7314204
University of Montenegro;21595;5131854
University of Monterrey;16000;2940340
University of Montevallo;2600;1156187
University of Montpellier;41000;627315
University of Montpellier 1;21226;13835734
University of Moratuwa;10000;1570418
University of Mosul;51926;5103391
University of Mumbai;7579;501079
University of Mumbai, Thane Sub Campus;800;51152660
University of Music and Performing Arts Munich;1098;3902869
University of Music and Performing Arts Vienna;3000;2621144
University of Music and Theatre Leipzig;813;1566553
University of Mysore;10946;1011591
University of Málaga;35979;27047364
University of Münster;43790;172246
University of Namibia;30144;3063359
University of Nantes;37140;2153532
University of Naples Federico II;93280;4932663
University of Nariño;9867;15345084
University of National and World Economy;21430;5201451
University of Natural Resources and Life Sciences, Vienna;10941;1403871
University of Nebraska Medical Center;4406;5079518
University of Nebraska Omaha;15526;1618582
University of Nebraska at Kearney;6327;1637831
University of Nebraska–Lincoln;24431;323058
University of Neuchâtel;4508;3662101
University of Nevada, Las Vegas;31142;239216
University of Nevada, Reno;20718;239274
University of Nevada, Reno School of Medicine;70;38903524
University of New Brunswick;9662;32094
University of New Brunswick Faculty of Law;258;3083532
University of New England College of Osteopathic Medicine;500;24856550
University of New Hampshire;14784;498538
University of New Haven;6984;497586
University of New Mexico;25441;404570
University of New Mexico School of Law;347;18262051
University of Newcastle School of Medicine and Public Health;500;24220663
University of Nice Sophia Antipolis;25049;5109207
University of Nigeria;36000;635562
University of Niigata Prefecture;1058;44904076
University of Nizwa;1;35021711
University of Niš;20559;4973847
University of Niš Faculty of Arts;291;43707129
University of Niš Faculty of Law;1708;35638429
University of Niš Faculty of Science and Mathematics;1567;53845282
University of Nordland;5800;2284648
University of North Alabama;8832;499466
University of North Bengal;1882;5031441
University of North Carolina;244507;77940
University of North Carolina School of Law;645;4326148
University of North Carolina School of the Arts;1144;524243
University of North Carolina Wilmington;18030;412677
University of North Carolina at Asheville;3765;166156
University of North Carolina at Chapel Hill;31539;89510
University of North Carolina at Charlotte;30146;409849
University of North Carolina at Greensboro;19764;77958
University of North Carolina at Pembroke;8319;406342
University of North Dakota;13615;428318
University of North Dakota School of Law;241;5594056
University of North Florida;17043;853831
University of North Georgia;19722;35762634
University of North Sumatra;51;26626884
University of North Texas;42372;179976
University of North Texas College of Music;1510;22742098
University of North Texas Health Science Center;2329;2114223
University of North Texas System;49060;2111956
University of Northern British Columbia;4253;201118
University of Northern Colorado;12084;362136
University of Northern Iowa;10497;60799
University of Northwestern – St. Paul;3427;293498
University of Notre Dame;12681;146269
University of Nottingham Malaysia;5000;432969
University of Nottingham Medical School;330;9312169
University of Nottingham Ningbo China;5628;12782528
University of Novi Sad;42489;3372159
University of Novi Sad Faculty of Law;2453;35630820
University of Novi Sad Faculty of Technical Sciences;15742;8615129
University of Novo Mesto;600;57886549
University of Nueva Caceres;10000;6271115
University of Nursing, Mandalay;100;20852292
University of Nusa Cendana;20000;24203611
University of Okara;21000;53401756
University of Oklahoma;28564;323072
University of Oklahoma College of Law;509;5962785
University of Oklahoma Health Sciences Center;4000;10723563
University of Oldenburg;15220;1613556
University of Oregon;22298;264573
University of Orléans;20083;6605415
University of Oslo;28000;31800
University of Ostrava;8543;2467848
University of Otago;21240;98089
University of Ottawa;41749;140699
University of Ottawa Faculty of Law;1168;9662011
University of Ouargla;25421;32947827
University of Oulu;13000;267975
University of Oviedo;19298;971310
University of Oxford;24515;31797
University of Padua;59317;378253
University of Palermo;48338;2115477
University of Pardubice;8000;3433846
University of Parma;26000;453604
University of Passau;12631;409091
University of Pau and the Adour Region;13841;7235991
University of Pavia;23849;666346
University of Peloponnese;24653;11090689
University of Pennsylvania;22432;31793
University of Pennsylvania Graduate School of Education;1300;11735977
University of Pennsylvania Law School;755;176400
University of Pennsylvania School of Dental Medicine;690;7187205
University of Pennsylvania School of Design;723;11653077
University of Pennsylvania School of Nursing;1275;21487408
University of Pennsylvania School of Social Policy and Practice;477;41963328
University of Peradeniya;11065;4576152
University of Pereslavl;346;5325684
University of Perpetual Help System;40000;17138832
University of Perpetual Help System DALTA;18500;26464041
University of Perpetual Help System DALTA – Calamba Campus;3000;19443280
University of Perpetual Help System DALTA – Molino Campus;4500;6898089
University of Perpignan Via Domitia;9500;13889333
University of Perugia;26732;1946187
University of Peshawar;14060;2454023
University of Petra;8024;24609941
University of Pikeville;2366;1319589
University of Pikeville Kentucky College of Osteopathic Medicine;299;30226209
University of Pisa;46000;453158
University of Pitești;9087;23159613
University of Pittsburgh;28391;239870
University of Pittsburgh School of Law;400;3025742
University of Pittsburgh at Bradford;1317;3113284
University of Pittsburgh at Greensburg;1439;3202822
University of Pittsburgh at Johnstown;2462;4020323
University of Pittsburgh at Titusville;135;7642354
University of Piura;10170;2034214
University of Plymouth;23155;417261
University of Poitiers;25078;533895
University of Port Harcourt;35000;26188139
University of Portland;3731;415982
University of Porto;30640;39886390
University of Portsmouth;28280;564419
University of Pretoria;3278;23443855
University of Pretoria;53131;23443855
University of Pretoria;56409;23443855
University of Pretoria Faculty of Veterinary Science;767;18072964
University of Prince Edward Island;4669;32096
University of Pristina;31200;6823710
University of Prizren;10000;16993973
University of Priština (North Mitrovica);9314;34674151
University of Professional Studies;20000;41863844
University of Provence;23056;7486337
University of Puerto Rico;35650;143016
University of Puerto Rico, Río Piedras Campus;18653;874570
University of Puerto Rico School of Law;695;14110561
University of Puerto Rico at Aguadilla;1985;874873
University of Puerto Rico at Humacao;4732;874850
University of Puerto Rico at Mayagüez;10948;453996
University of Puerto Rico at Ponce;4000;875052
University of Puerto Rico at Utuado;331;875062
University of Puget Sound;2130;384426
University of Putra Malaysia;25399;1779258
University of Pécs;20000;2519422
University of Qom;10000;5726025
University of Queensland;55305;192819
University of Quintana Roo;5359;19343395
University of Rajshahi;38291;1612343
University of Redlands;4898;299977
University of Regensburg;21088;1789822
University of Regina;16501;434157
University of Religions and Denominations;8000;33205075
University of Reunion Island;12000;13952707
University of Richmond;3914;856511
University of Richmond School of Law;500;5513683
University of Rijeka;17443;5119373
University of Rio Grande;2300;4097455
University of Rome Tor Vergata;35000;2097467
University of Rostock;13766;670437
University of Rovira i Virgili;12000;106170
University of Ruhuna;11000;5315459
University of Ruse;10000;6011821
University of Rwanda;30445;46342206
University of Saint Joseph;1800;25487948
University of Saint Joseph (Connecticut);2467;3632815
University of Salzburg;18000;1267399
University of San Carlos;16000;1367948
University of San Francisco School of Law;367;3271581
University of San Martín de Porres;55000;18651334
University of Santiago, Chile;21520;628161
University of Santo Tomas College of Architecture;2159;20839419
University of Santo Tomas College of Commerce and Business Administration;3846;24084634
University of Santo Tomas College of Education;2101;14393058
University of Santo Tomas College of Fine Arts and Design;2131;18728060
University of Santo Tomas Conservatory of Music;740;21359657
University of Santo Tomas Faculty of Arts and Letters;3982;11772489
University of Santo Tomas Faculty of Civil Law;700;11287886
University of Santo Tomas Faculty of Engineering;7196;9497810
University of Santo Tomas Faculty of Medicine and Surgery;2072;11993681
University of Santo Tomas Faculty of Pharmacy;3055;12118817
University of Sanya;20000;40233103
University of Sarajevo;30866;4193718
University of Sargodha;20000;3394421
University of Saskatchewan;25703;267686
University of Saskatchewan College of Agriculture and Bioresources;1000;12451925
University of Sassari;13000;4894028
University of Science and Arts of Oklahoma;800;1699164
University of Science and Technology, Meghalaya;3000;44761737
University of Science and Technology (Sudan);25485;30940761
University of Science and Technology Chittagong;4203;8390540
University of Science and Technology Houari Boumediene;28111;26755787
University of Science and Technology of China;15500;919458
University of Scranton;5422;161139
University of Seville;69;247917
University of Sfax;48514;5234470
University of Sharjah;14756;9728700
University of Shiga Prefecture;2557;16890022
University of Sialkot;10000;62285149
University of Siena;20000;453951
University of Sindh;32450;2198769
University of Sioux Falls;1453;4990469
University of Skövde;4000;28475999
University of Slavonski Brod;2261;69859284
University of Somalia;11000;44225352
University of Souk Ahras;11419;44389232
University of South-Eastern Norway;17152;49278536
University of South Africa;420000;12303804
University of South Asia, Bangladesh;3000;12710499
University of South Australia;5496;335415
University of South Australia;6172;335415
University of South Australia;8043;335415
University of South Australia;37873;335415
University of South Bohemia in České Budějovice;9000;33797833
University of South Carolina;35364;963887
University of South Carolina;52633;963887
University of South Carolina Aiken;3280;203602
University of South Carolina Lancaster;1800;13545667
University of South Carolina School of Law;667;5500002
University of South Carolina System;52633;436083
University of South Carolina Upstate;5996;837349
University of South China;35000;10218658
University of South Dakota;9971;266680
University of South Dakota School of Law;168;12414802
University of South Florida Sarasota–Manatee;1882;10807132
University of Southern California;49318;32005
University of Southern Denmark;29674;43861
University of Southern Indiana;9027;263077
University of Southern Maine;7996;682089
University of Southern Mississippi;14606;4610689
University of Southern Queensland;27563;523281
University of Split;18000;5118739
University of St. Francis;3352;1560371
University of St. Gallen;357;751473
University of St. Gallen;9047;751473
University of St. La Salle;12657;5961567
University of St. Thomas (Minnesota);9347;593223
University of St. Thomas (Texas);3523;563303
University of St Andrews School of Medicine;464;3657130
University of Strasbourg;52144;722824
University of Stuttgart;27686;2089384
University of Sufism and Modern Sciences;300;61582508
University of Sunderland;24796;610769
University of Sussex;19413;32045
University of Suwon;12415;5182895
University of Swat;7000;33514615
University of Sydney;74862;31928
University of Sydney Business School;15568;15096830
University of Szeged;22693;1096803
University of São Tomé and Príncipe;2000;12475927
University of Tabriz;24000;1200436
University of Talca;11573;1271748
University of Tarapacá;9489;1271749
University of Tartu;13169;218052
University of Tartu Viljandi Culture Academy;800;31653503
University of Tasmania;33879;601288
University of Technology, Jamaica;12000;6623659
University of Technology, Mauritius;4500;1512486
University of Technology Brunei;1674;12423161
University of Technology Malaysia;32;1763219
University of Technology Sarawak;1015;44606462
University of Technology Sydney;45221;314359
University of Technology of Compiègne;4400;4214524
University of Tehran;52588;159999
University of Tennessee;31701;28923831
University of Tennessee College of Law;460;25847589
University of Tennessee College of Medicine;671;29142386
University of Tennessee Health Science Center;2851;1250457
University of Tennessee at Martin;6705;638599
University of Tennessee system;49000;1250406
University of Texas Health Science Center at Houston;289;1429360
University of Texas Health Science Center at Houston;406;1429360
University of Texas Health Science Center at Houston;565;1429360
University of Texas Health Science Center at Houston;1077;1429360
University of Texas Health Science Center at Houston;1257;1429360
University of Texas Health Science Center at Houston;1647;1429360
University of Texas Health Science Center at Houston;5241;1429360
University of Texas Medical Branch;3169;526953
University of Texas Permian Basin;7628;1419441
University of Texas Rio Grande Valley;32419;41347145
University of Texas School of Law;1005;4682396
University of Texas Southwestern Medical Center;1827;617906
University of Texas System;240000;242746
University of Texas at Arlington;45949;906409
University of Texas at Arlington College of Engineering;7238;25950823
University of Texas at Austin School of Architecture;663;11899299
University of Texas at Brownsville;8612;42892812
University of Texas at El Paso;25151;303903
University of Texas at San Antonio;34742;953387
University of Texas at San Antonio College of Sciences;4715;11266135
University of Texas–Pan American;20053;742578
University of Tirana;35000;277826
University of Tokyo;28133;166215
University of Toledo;17070;33431636
University of Toledo College of Law;388;24394893
University of Toliara;4000;47592934
University of Toronto Ajax Division;3312;71373099
University of Toronto Faculty of Dentistry;559;380981
University of Toronto Scarborough;14050;333619
University of Toulouse;100674;993372
University of Toulouse-Jean Jaurès;27;9915233
University of Trento;17;1949698
University of Trier;13751;541696
University of Trieste;15177;453760
University of Tripoli;45000;8615560
University of Trnava;4671;15079768
University of Trás-os-Montes and Alto Douro;7000;293458
University of Tsukuba;16459;2080195
University of Tulsa;3740;32043
University of Tulsa College of Law;280;4189506
University of Turbat;3400;44307676
University of Turin;81200;453828
University of Tuzla;10683;7431544
University of Twente;12544;101629
University of Tyumen;27000;51873886
University of Tübingen;27196;262301
University of Ulm;9891;5290513
University of Ulsan;20798;10458246
University of Upper Alsace;8353;14271867
University of Urbino;13876;454870
University of Utah;32818;32097
University of Utah School of Medicine;450;26151926
University of Valencia;65789;4449809
University of Valle;30320;14257781
University of Veterinary and Animal Sciences;6200;7696916
University of Veterinary and Animal Sciences (Ravi Campus);6200;60431355
University of Vic - Central University of Catalonia;15;41023197
University of Victoria;21696;32098
University of Vienna;91715;53049
University of Vigo;18577;3250692
University of Virginia;25018;59801
University of Virginia College of Arts and Sciences;12000;4694647
University of Virginia School of Law;1002;1713258
University of Virginia School of Medicine;55;5675255
University of Virginia School of Medicine;200;5675255
University of Virginia School of Medicine;612;5675255
University of Virginia School of Medicine;700;5675255
University of Virginia School of Nursing;681;7710142
University of Vocational Technology;3850;43127282
University of Waikato;10448;239210
University of Warsaw;40300;11157563
University of Warwick;27278;61115
University of Washington Bothell;5963;2064304
University of Washington College of Arts and Sciences;21025;9983942
University of Washington College of Engineering;8125;31252353
University of Washington Continuum College;54311;19793624
University of Washington Department of Bioengineering;209;30930856
University of Washington School of Art + Art History + Design;567;50230309
University of Washington School of Medicine;957;9641301
University of Washington School of Nursing;664;38628541
University of Washington School of Public Health;1704;4861328
University of Washington Tacoma;4987;3590251
University of Waterloo School of Optometry and Vision Science;90;4642990
University of West Bohemia;18151;5326324
University of West Florida;13043;750756
University of West Georgia;13510;595315
University of West Yangon;22448;17308688
University of Western Brittany;20000;13952608
University of Western Ontario Faculty of Law;534;5582819
University of Western States;915;1655050
University of Windsor;16321;342733
University of Windsor Faculty of Law;712;17599452
University of Winnipeg;9691;587404
University of Wisconsin Colleges;11608;1827182
University of Wisconsin–Eau Claire;10064;496729
University of Wisconsin–Green Bay, Manitowoc Campus;640;6265863
University of Wisconsin–Madison;49886;23536538
University of Wisconsin–Madison School of Education;2788;6798538
University of Wisconsin–Oshkosh, Fond du Lac Campus;594;11974549
University of Wisconsin–Oshkosh, Fox Cities Campus;1286;2445922
University of Wisconsin–Platteville;8712;1142362
University of Wisconsin–River Falls;5862;717949
University of Wisconsin–Stevens Point;7725;1777831
University of Wisconsin–Stout;8393;496737
University of Wisconsin–Whitewater at Rock County;897;4161679
University of Wollongong;34520;461935
University of Wollongong in Dubai;3700;11880866
University of Wrocław;23297;446706
University of Wyoming;12249;535684
University of Würzburg;27092;715155
University of Zagreb;72480;899111
University of Zambia;30000;1517408
University of Zanjan;10414;5352518
University of Zaragoza;36492;3818081
University of Zenica;3927;29699138
University of Zululand;18000;2651648
University of Zurich;25732;314803
University of the Aegean;10000;18714851
University of the Americas (Chile);22790;5063270
University of the Andes, Chile;10072;5632818
University of the Andes (Venezuela);54000;2949571
University of the Arts (Philadelphia);1900;472452
University of the Arts London;18290;26609273
University of the Azores;2613;1574142
University of the Basque Country;44921;4174231
University of the Bío Bío;11775;1271751
University of the Chinese Academy of Sciences;57651;6704292
University of the Cordilleras;21000;10401334
University of the Fraser Valley;9310;1467545
University of the Highlands and Islands;31000;2626773
University of the Immaculate Conception;9500;17210742
University of the Incarnate Word;9366;3354114
University of the Llanos;5990;22152090
University of the Mediterranean;24000;7477720
University of the Ozarks;872;1706961
University of the Philippines;56015;190490
University of the Philippines College of Law;727;11691936
University of the Philippines College of Science;1170;7480738
University of the Philippines College of Science;1312;7480738
University of the Philippines Diliman;26164;192981
University of the Philippines Los Baños;12027;719152
University of the Philippines Los Baños College of Agriculture and Food Science;1429;17747052
University of the Philippines Los Baños College of Forestry and Natural Resources;487;12320470
University of the Philippines Manila;5525;1773725
University of the Philippines Open University;4086;3132317
University of the Punjab;1219;1602349
University of the Punjab;45678;1602349
University of the Rockies;1365;16163637
University of the Ryukyus;8079;1846726
University of the Sacred Heart Gulu;120;55993236
University of the South Pacific;29918;1039974
University of the Southern Caribbean;3500;23473941
University of the Southwest;1009;2896692
University of the State of Paraná;13635;32427693
University of the Virgin Islands;2138;3236164
University of the Visual and Performing Arts;9000;12231410
University of the West;324;4032612
University of the West Indies at Cave Hill;6668;59463556
University of the West Indies at Five Islands;147;62603524
University of the West of England, Bristol;29497;275018
University of the Western Cape;22000;1810005
University of the Witwatersrand;40259;320467
University of Évora;10496;2062273
University of Évry Val d'Essonne;10500;5620618
University of Łódź;25986;7089479
Università Cattolica del Sacro Cuore;39593;4856500
Università Iuav di Venezia;4997;4812910
Università Telematica Universitas Mercatorum;3559;39556365
"Università degli Studi di Napoli ""L'Orientale""";10293;26139915
Università degli studi di Foggia;11000;4907703
Università della Svizzera italiana;3350;2290642
Università per Stranieri di Perugia;2017;2916298
Université Européenne des Senteurs & Saveurs;240;39902072
Université Paris Cité;64100;60361222
Université Publique de l'Artibonite aux Gonaïves;1400;54143503
Université Sainte-Anne;580;1018551
Université catholique de Louvain;33473;398478
Université de Moncton;5170;572302
Université de Namur;6623;11083678
Université de Sherbrooke;31000;377195
Université du Québec en Abitibi-Témiscamingue;5200;1018548
Université du Québec en Outaouais;6017;1018553
Université du Québec à Rimouski;6700;1018559
Université du Québec à Trois-Rivières;14500;505387
Upper Canada College;1146;325856
Uppsala University - Campus Gotland;4300;216950
UrFU, Institute of Physics and Technology;2000;35172359
Ural Federal University;34794;32158509
Ural State Law University;8358;29543999
Ural State Medical University;4513;63793133
Ural State Technical University;23100;2298915
Ural State University;8000;4453847
Ural State University;10000;4453847
Ural State University of Railway Transport;18000;5732481
Urban College of Boston;1000;14453198
Urdaneta City University;12500;21401680
Urea Sar Karkhana School & College;1500;47669328
Urmia University;15000;3529631
Usha Pravin Gandhi College of Management;1086;51243156
Utah State University;27943;267513
Utah System of Higher Education;223829;1379833
Utah Tech University;12556;1593272
Utah Valley University;41262;819227
Utkal Gourav Madhusudan Institute of Technology, Rayagada;546;45595905
Utkal University;4334;6448569
Utkalmani Gopabandhu Institute of Engineering;1500;31611113
Utrecht University;35294;32053
Utsunomiya University;5580;14835763
Uttar Pradesh University of Medical Sciences;3394;12638399
Uttara High School and College;10000;30479252
Uttara University;10000;11816703
Uva Wellassa University;3000;25755097
Uxbridge College;7900;19250936
V. Dokuchaev Kharkiv National Agrarian University;3500;63483315
VCU Brandcenter;200;20978469
VCU School of Medicine;123;29276806
VCU School of Medicine;165;29276806
VCU School of Medicine;281;29276806
VCU School of Medicine;759;29276806
VCU School of the Arts;2885;54029016
VID Specialized University;4500;61073580
VNR Vignana Jyothi Institute of Engineering and Technology;6300;3347664
VSB – Technical University of Ostrava;22512;2819502
Vaal University of Technology;25000;2659324
Vaishnavi Institute of Technology;1000;24909735
Valdosta State University;12416;677038
Valencia Catholic University Saint Vincent Martyr;13;29968025
Valencia College;45949;677097
Valley City State University;1452;592627
Valley Forge Military Academy and College;175;1647839
Valley University of Science and Technology;105;56257695
Valliammai Engineering College;4200;23874544
Van Hall Larenstein;4293;14287460
Van Nuys High School;2634;1857779
Vancouver Community College;12600;1998406
Vancouver Island University;7270;876966
Vandebilt Catholic High School;940;2148439
Vanderbilt Peabody College of Education and Human Development;2884;982566
Vanderbilt University;13796;282250
Vanderbilt University Law School;640;3152259
Vanderbilt University School of Medicine;607;13893187
Vanguard University;2752;1298221
Vanier College;9200;1219550
Vanier College at York University;6909;27709347
Varendra University;5500;49157642
Varsity College;3500;16785949
Vasile Goldiș Western University of Arad;4500;14910289
Vasyl Stefanyk Precarpathian National University;18000;37578623
Vaughn College of Aeronautics and Technology;1442;745215
Veer Bahadur Singh Purvanchal University;1421;11522049
Veer Surendra Sai University of Technology;4413;3124984
Veermata Jijabai Technological Institute;2860;564968
Velagapudi Ramakrishna Siddhartha Engineering College;5712;1278967
Velammal College of Engineering and Technology;2800;43769978
Velammal Engineering College;28000;2747279
Velammal Institute of Technology;1600;42377132
Velikiye Luki State Academy of Physical Education and Sports;2800;70253503
Vels Institute of Science, Technology & Advanced Studies;10000;30722169
Ventspils University College;902;42787374
Vermont State University;5500;70506892
Vernon College;3167;23639696
VetAgro Sup;1200;70566339
Victor Babeș University of Medicine and Pharmacy, Timișoara;6813;1598766
Victor Valley College;11504;2916858
Victoria College (Texas);6200;2270477
Victoria Junior College;1456;1016834
Victoria Park Collegiate Institute;1174;8749210
Victoria University, Melbourne;28412;32775
Victoria University Uganda;1500;32087088
Victoria University of Wellington;22273;32776
Victory University;1970;1573272
Vidyajyoti College of Theology;175;8988715
Vidyaranya High School;700;36974252
Vidyasagar University;4344;3301021
Vidzeme University of Applied Sciences;850;41547308
Vietnam National University of Agriculture;23000;33362663
Vijaya College, Bangalore;2400;37077165
Villa College;800;50496862
Villa Maria College;544;491081
Villanova University School of Law;720;4260421
Vilnius Academy of Arts;1540;17006029
Vilnius University;24716;571714
VinUniversity;300;63802803
Vincennes University;18897;670265
Vinnytsia State Pedagogical University;5554;37541297
Vinod Gupta School of Management;392;44370651
Virginia Commonwealth University;28919;172675
Virginia Community College System;95592;3973727
Virginia Community College System;218985;3973727
Virginia Intermont College;591;620992
Virginia Military Institute;1685;345295
Virginia Tech;36383;239897
Virginia Tech College of Agriculture and Life Sciences;3154;21282165
Virginia Tech College of Architecture and Urban Studies;2020;31362889
Virginia Tech College of Engineering;10059;34749370
Virginia Tech College of Liberal Arts and Human Sciences;4412;32936129
Virginia Tech College of Natural Resources and Environment;1023;33064952
Virginia Tech College of Science;4355;32855490
Virginia Theological Seminary;216;1978724
Virginia Union University;1700;641672
Virginia University of Lynchburg;750;3152692
Virginia Wesleyan University;1607;966271
Virginia–Maryland College of Veterinary Medicine;700;1310074
Virtual University of Pakistan;25000;6682215
Virtual University of Pakistan;72000;6682215
Visakha Vidyalaya;6000;11819407
Vishun Roy College;2400;50731266
